Date,Air_Temp_C,Apparent_Temp_C,Rain_Probability_Pct,Wind_Speed,Heliophile(%),Photophobic(%),Sun-chaser(%),Shade-chaser(%),Sun-preferring(%),Shade-preferring(%),x_fit_ApparentTemp,fit_Heliophile(%),fit_Photophobic(%),fit_Sun-chaser(%),fit_Shade-chaser(%),fit_Sun-preferring(%),fit_Shade-preferring(%)
2022/6/4,23,29.3000,40,2,59.7561,4.8780,25.0000,10.3659,84.7561,15.2439,24.0000,58.9762,-0.7763,28.0014,13.7988,86.9775,13.0225
2022/6/13,24,28.4000,4,4,37.2671,12.4224,28.5714,21.7391,65.8385,34.1615,48.0000,50.0192,25.5058,9.3159,15.1591,59.3351,40.6649
2022/6/19,27,32.5000,25,5,60.9756,2.4390,26.4808,10.1045,87.4564,12.5436,,,,,,,
2022/6/24,31,35.9000,40,7,52.2876,12.4183,15.0327,20.2614,67.3203,32.6797,,,,,,,
2022/6/25,33,37.6000,2,8,63.0000,3.0000,25.6667,8.3333,88.6667,11.3333,,,,,,,
2022/6/29,34,40.2000,0,4,43.6364,13.3333,25.4545,17.5758,69.0909,30.9091,,,,,,,
2022/6/30,35,40.1000,55,5,35.0877,16.6667,12.2807,35.9649,47.3684,52.6316,,,,,,,
2022/7/2,34,40.3000,3,4,44.5902,6.8852,32.1311,16.3934,76.7213,23.2787,,,,,,,
2022/7/18,29,37.0000,13,2,65.2720,5.0209,16.7364,12.9707,82.0084,17.9916,,,,,,,
2022/7/23,32,39.4000,45,5,44.9367,8.8608,26.5823,19.6203,71.5190,28.4810,,,,,,,
2022/7/24,31,36.9000,25,4,53.6481,11.5880,17.5966,17.1674,71.2446,28.7554,,,,,,,
2022/7/30,33,40.6000,25,3,41.8605,32.1705,10.4651,15.5039,52.3256,47.6744,,,,,,,
2022/8/27,33,39.7000,40,3,43.1310,34.8243,9.9042,12.1406,53.0351,46.9649,,,,,,,
2023/6/4,25,27.7000,1,6,66.0088,3.5088,21.0526,9.4298,87.0614,12.9386,,,,,,,
2023/6/7,27,31.5000,40,3,46.5347,10.2310,24.4224,18.8119,70.9571,29.0429,,,,,,,
2023/6/13,26,36.7000,40,2,37.9310,13.3005,21.6749,27.0936,59.6059,40.3941,,,,,,,
2023/6/28,30,39.4000,40,4,58.3333,3.7037,25.4630,12.5000,83.7963,16.2037,,,,,,,
2023/7/2,31,39.3000,2,3,67.4569,3.4483,18.1034,10.9914,85.5603,14.4397,,,,,,,
2023/7/16,35,43.2000,2,5,60.6280,7.2464,22.7053,9.4203,83.3333,16.6667,,,,,,,
2023/7/23,33,38.5000,1,4,50.9772,11.8893,24.5928,12.5407,75.5700,24.4300,,,,,,,
2023/7/31,35,42.6000,2,5,42.9268,30.2439,6.8293,20.0000,49.7561,50.2439,,,,,,,
2023/8/2,34,41.1000,25,2,50.0000,25.1613,6.4516,18.3871,56.4516,43.5484,,,,,,,
2023/8/4,35,43.9000,40,4,42.2311,25.8964,12.7490,19.1235,54.9801,45.0199,,,,,,,
2023/8/5,36,42.7000,25,5,50.1608,22.8296,10.6109,16.3987,60.7717,39.2283,,,,,,,
2023/8/11,31,35.8000,86,4,58.5106,24.1135,8.8652,8.5106,67.3759,32.6241,,,,,,,
2023/8/18,33,42.4000,7,4,45.4545,24.1259,18.5315,11.8881,63.9860,36.0140,,,,,,,
2023/8/20,33,45.6000,25,2,47.5083,16.9435,17.6080,17.9402,65.1163,34.8837,,,,,,,
2023/8/25,32,38.1000,7,6,60.0719,13.6691,12.9496,13.3094,73.0216,26.9784,,,,,,,
2023/8/30,33,38.4000,11,6,56.8093,20.2335,10.1167,12.8405,66.9261,33.0739,,,,,,,
2023/8/31,32,36.8000,0,6,62.0915,13.7255,13.7255,10.4575,75.8170,24.1830,,,,,,,
2024/6/7,27,28.7000,40,4,58.0071,6.4057,20.6406,14.9466,78.6477,21.3523,,,,,,,
2024/6/8,27,32.5000,25,2,51.7241,5.7471,24.7126,17.8161,76.4368,23.5632,,,,,,,
2024/6/12,28,32.4000,1,4,59.8985,11.6751,16.7513,11.6751,76.6497,23.3503,,,,,,,
2024/6/15,29,33.8000,1,4,60.9272,5.9603,20.1987,12.9139,81.1258,18.8742,,,,,,,
2024/6/16,27,31.2000,55,3,58.1560,4.7281,25.7683,11.3475,83.9243,16.0757,,,,,,,
2024/6/27,26,31.1000,1,3,56.9948,5.6995,24.8705,12.4352,81.8653,18.1347,,,,,,,
2024/7/3,30,35.9000,94,2,51.1848,2.3697,26.0664,20.3791,77.2512,22.7488,,,,,,,
2024/7/4,34,40.8000,25,3,50.5556,10.0000,20.0000,19.4444,70.5556,29.4444,,,,,,,
2024/7/7,33,40.5000,66,3,75.2336,2.1028,16.1215,6.5421,91.3551,8.6449,,,,,,,
2024/7/23,34,41.6000,45,3,50.5338,14.2349,20.6406,14.5907,71.1744,28.8256,,,,,,,
2024/7/24,35,42.0000,25,4,51.3228,19.5767,14.2857,14.8148,65.6085,34.3915,,,,,,,
2024/7/29,36,42.3000,84,4,46.5986,29.5918,11.9048,11.9048,58.5034,41.4966,,,,,,,
2024/8/1,33,39.8000,40,2,45.6376,24.8322,12.0805,17.4497,57.7181,42.2819,,,,,,,
2024/8/4,34,40.4000,65,2,57.7778,26.1111,8.1481,7.9630,65.9259,34.0741,,,,,,,
2024/8/5,33,40.7000,60,3,75.4153,7.6412,5.9801,10.9635,81.3953,18.6047,,,,,,,
2024/8/7,32,39.2000,98,2,57.9805,19.2182,10.0977,12.7036,68.0782,31.9218,,,,,,,
2024/8/10,34,39.2000,40,4,63.9456,19.2744,7.0295,9.7506,70.9751,29.0249,,,,,,,
2024/8/11,35,42.0000,1,3,63.2546,22.5722,5.5118,8.6614,68.7664,31.2336,,,,,,,
2024/8/12,35,42.2000,58,2,58.2278,22.5738,10.1266,9.0717,68.3544,31.6456,,,,,,,
2024/8/20,32,38.1000,86,5,46.5969,28.2723,8.9005,16.2304,55.4974,44.5026,,,,,,,
